hola
buenos días
buenas tardes
buenas noches
qué tal
cómo estás
cómo andas
cómo va todo
qué hay
qué onda
qué pasa
qué hubo
qué hubo pues
qué hubo socio
qué hubo hermano
qué hubo amigo
qué hubo compa
qué hubo colega
qué hubo vecino
qué hubo primo
qué hubo familia
qué hubo gente
qué hubo todos
qué hubo ustedes
qué hubo ustedes dos
qué hubo ustedes tres
qué hubo ustedes cuatro
qué hubo ustedes cinco
qué hubo ustedes seis
qué hubo ustedes siete
qué hubo ustedes ocho
qué hubo ustedes nueve
qué hubo ustedes diez
qué hubo ustedes veinte
qué hubo ustedes treinta
qué hubo ustedes cuarenta
qué hubo ustedes cincuenta
qué hubo ustedes cien
qué hubo ustedes mil
qué hubo ustedes millón
qué hubo ustedes billón
qué hubo ustedes trillón
qué hubo ustedes infinito
qué hubo ustedes eterno
qué hubo ustedes siempre
qué hubo ustedes nunca
qué hubo ustedes jamás
qué hubo ustedes nadie
qué hubo ustedes nada
qué hubo ustedes todo
qué hubo ustedes todos
qué hubo ustedes todas
qué hubo ustedes ambos
qué hubo ustedes ambas
qué hubo ustedes algunos
qué hubo ustedes algunas
qué hubo ustedes varios
qué hubo ustedes varias
qué hubo ustedes muchos
qué hubo ustedes muchas
qué hubo ustedes pocos
qué hubo ustedes pocas
qué hubo ustedes ninguno
qué hubo ustedes ninguna
qué hubo ustedes alguien
qué hubo ustedes cualquiera
qué hubo ustedes cualquiera cosa
qué hubo ustedes cualquier cosa
qué hubo ustedes cualquier persona
qué hubo ustedes cualquier lugar
qué hubo ustedes cualquier sitio
qué hubo ustedes cualquier parte
qué hubo ustedes cualquier momento
qué hubo ustedes cualquier tiempo
qué hubo ustedes cualquier día
qué hubo ustedes cualquier noche
qué hubo ustedes cualquier mañana
qué hubo ustedes cualquier tarde
qué hubo ustedes cualquier madrugada
qué hubo ustedes cualquier semana
qué hubo ustedes cualquier mes
qué hubo ustedes cualquier año
qué hubo ustedes cualquier siglo
qué hubo ustedes cualquier milenio
qué hubo ustedes cualquier era
qué hubo ustedes cualquier época
qué hubo ustedes cualquier temporada
qué hubo ustedes cualquier estación
qué hubo ustedes cualquier jornada
qué hubo ustedes cualquier turno
qué hubo ustedes cualquier guardia
qué hubo ustedes cualquier servicio
qué hubo ustedes cualquier trabajo
qué hubo ustedes cualquier oficio
qué hubo ustedes cualquier profesión
qué hubo ustedes cualquier carrera
qué hubo ustedes cualquier estudio
qué hubo ustedes cualquier asignatura
qué hubo ustedes cualquier materia
qué hubo ustedes cualquier tema
qué hubo ustedes cualquier asunto
qué hubo ustedes cualquier cuestión
qué hubo ustedes cualquier problema
qué hubo ustedes cualquier dificultad
qué hubo ustedes cualquier obstáculo
qué hubo ustedes cualquier impedimento
qué hubo ustedes cualquier traba
qué hubo ustedes cualquier bloqueo
